ReportShipping,ReportQtySold,ReportTax,ReportTotalSales,StoreName,StoreShipping,StoreQtySold,StoreTax,StoreTotalSales,TransactionNumber,TransactionDate,Register,TransactionShipping,TransactionQtySold,TransactionTax,TransactionTotalSales,ItemSku,ItemDescription,Supplier,Department,Category,SalesRep,Price,Cost,QtySold,Tax,TotalSales,PriceA,PriceB,PriceC,SalePrice,SaleStartDate,SaleEndDate,BinLocation
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000150,06/04/2017,Register: 1,£0.00,2.00,£2.82,£19.76,380010,CRAFTSMAN'S KNIFE HVK,Casstrom Limited,KNIVES,FIXED BLADE,Unassigned,£8.95,£2.63,1.00,£1.49,£10.44,£0.00,£0.00,£0.00,£0.00,,,Z5
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000150,06/04/2017,Register: 1,£0.00,2.00,£2.82,£19.76,JRY-BIOSA,BISLEY SILICONE OIL AEROSOL,John Rothery (Wholesale)Co Ltd,CHEMICAL & CLEANING,OILS & GREASES,Unassigned,£7.99,£3.67,1.00,£1.33,£9.32,£0.00,£0.00,£0.00,£0.00,,,D
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000151,06/04/2017,Register: 1,£0.00,1.00,£0.50,£3.50,DIVE FILL 232,DIVER'S TANK 232 BAR FILL,Shooting Supplies Limited,AIR GUN,CHARGING,Unassigned,£3.00,£0.01,1.00,£0.50,£3.50,£0.00,£0.00,£0.00,£0.00,,,
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000152,06/04/2017,Register: 1,£0.00,2.00,£1.00,£246.99,JRY-EXT,EXPRESS GUN OIL DROPPER,John Rothery (Wholesale)Co Ltd,CHEMICAL & CLEANING,OILS & GREASES,Unassigned,£5.99,£2.52,1.00,£1.00,£6.99,£0.00,£0.00,£0.00,£0.00,,,D
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000152,06/04/2017,Register: 1,£0.00,2.00,£1.00,£246.99,2HANDGOODS,SECONDHAND GOODS,Shooting Supplies Limited,SECONDHAND GOODS,SECONDHAND GOODS,Unassigned,£240.00,£0.00,1.00,£0.00,£240.00,£0.00,£0.00,£0.00,£0.00,,,
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000153,06/04/2017,Register: 1,£0.00,2.00,£1.08,£14.08,JRY-HNBA20,H&N BARACUDA .20 (200),John Rothery (Wholesale)Co Ltd,PELLETS,DOMED,Unassigned,£6.49,£3.78,1.00,£1.08,£7.57,£0.00,£0.00,£0.00,£0.00,,,H
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000153,06/04/2017,Register: 1,£0.00,2.00,£1.08,£14.08,POST & PACKING,POSTAGE & PACKING,Shooting Supplies Limited,POST & PACKING,POST & PACKING,Unassigned,£6.51,£0.00,1.00,£0.00,£6.51,£0.00,£0.00,£0.00,£0.00,,,
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000154,06/04/2017,Register: 1,£0.00,4.00,£9.15,£64.07,PCX2000,EXPRESS S'SHELL PRIMER (100),Lyalvale Express Limited,RELOADING,PRIMERS,Unassigned,£4.99,£2.66,3.00,£2.50,£17.47,£0.00,£0.00,£0.00,£0.00,,,E
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000154,06/04/2017,Register: 1,£0.00,4.00,£9.15,£64.07,ALLI-107,ALLIANT RED DOT,Edgar Brothers,RELOADING,POWDER,Unassigned,£39.95,£22.99,1.00,£6.66,£46.61,£0.00,£0.00,£0.00,£0.00,,,G
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000155,06/04/2017,Register: 1,£0.00,4.00,£6.23,£43.61,MILCO2,12G CO2 CAPSULE,LR Nash (SMK) Ltd,AIR GUN,SPARES & ACCESSORIES,Unassigned,£9.95,£2.10,2.00,£3.32,£23.22,£0.00,£0.00,£0.00,£0.00,,,Z9
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000155,06/04/2017,Register: 1,£0.00,4.00,£6.23,£43.61,RA2317163,RWS SUPER FIELD .22 5.51MM,Ruag Ammotec (UK) Limited,PELLETS,DOMED,Unassigned,£9.99,£5.50,1.00,£1.67,£11.66,£0.00,£0.00,£0.00,£0.00,,,Z8
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000155,06/04/2017,Register: 1,£0.00,4.00,£6.23,£43.61,RA2317162,RWS SUPER FIELD .177 4.51MM,Ruag Ammotec (UK) Limited,PELLETS,DOMED,Unassigned,£7.49,£4.00,1.00,£1.25,£8.74,£0.00,£0.00,£0.00,£0.00,,,Z9
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000156,06/04/2017,Register: 1,£0.00,1.00,£0.00,£20.00,POST & PACKING,POSTAGE & PACKING,Shooting Supplies Limited,POST & PACKING,POST & PACKING,Unassigned,£20.00,£0.00,1.00,£0.00,£20.00,£0.00,£0.00,£0.00,£0.00,,,
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000157,06/04/2017,Register: 1,£0.00,2.00,£40.49,£283.44,JRY-PESG,PELTOR EAR DEFEND H64FB/V,John Rothery (Wholesale)Co Ltd,SAFETY EQUIPMENT,EAR DEFENDERS,Unassigned,£27.95,£13.05,1.00,£4.66,£32.61,£0.00,£0.00,£0.00,£0.00,,,Z1
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000157,06/04/2017,Register: 1,£0.00,2.00,£40.49,£283.44,SL5+,SAFE 5 SHOTGUN + TOP LOCK,Brattonsound Engineering Ltd,SAFES,SHOTGUN & RIFLE,Unassigned,£215.00,£126.27,1.00,£35.83,£250.83,£0.00,£0.00,£0.00,£0.00,,,1
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000158,06/04/2017,Register: 1,£0.00,1.00,£0.00,£0.00,JRY-BIOSA,BISLEY SILICONE OIL AEROSOL,John Rothery (Wholesale)Co Ltd,CHEMICAL & CLEANING,OILS & GREASES,Unassigned,£7.99,£3.67,1.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,,,D
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000483,20/04/2017,Register: 1,£0.00,1.00,£5.99,£41.94,718,BSA RIFLE SLIP S10 LONG,BSA Guns (UK) Limited,GUN SLIPS & CASES,RIFLE SLIP,Unassigned,£35.95,£18.40,1.00,£5.99,£41.94,£0.00,£0.00,£0.00,£0.00,,,O
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000484,20/04/2017,Register: 1,£0.00,2.00,-£25.00,"£1,225.00",2HANDGOODS,SECONDHAND GOODS,Shooting Supplies Limited,SECONDHAND GOODS,SECONDHAND GOODS,Unassigned,£765.00,£0.00,1.00,£0.00,£765.00,£0.00,£0.00,£0.00,£0.00,,,
£0.00,"960,391.20","£150,518.95","£1,201,759.67",Shooting Supplies,£0.00,"960,391.20","£150,518.95","£1,201,759.67",00010001000484,20/04/2017,Register: 1,£0.00,2.00,-£25.00,"£1,225.00",2HANDGOODS,SECONDHAND GOODS,Shooting Supplies Limited,SECONDHAND GOODS,SECONDHAND GOODS,Unassigned,£615.00,£0.00,1.00,£0.00,£615.00,£0.00,£0.00,£0.00,£0.00,,,
